FECHA_VENTA,DIA_COMERCIAL,CIUDAD,DEPARTAMENTO,TIPO,MARCA,VALOR_TOTAL
2021-06-03,0,VILLAVICENCIO,META,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,ARROYOHONDO,BOLIVAR,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,BUCARAMANGA,SANTANDER,TELEFONO,APPLE,2164580.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,636520.0
2021-06-04,0,CALI,VALLE DEL CAUCA,TELEFONO,MOTOROLA,645520.0
2021-06-04,0,EL PLAYON,SANTANDER,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-04,0,CARTAGENA DEL CHAIRA,CAQUETA,TELEFONO,MOTOROLA,636520.0
2021-06-04,0,SANTANDER DE QUILICHAO,CAUCA,TELEFONO,SAMSUNG,597520.0
2021-06-04,0,PALESTINA,HUILA,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,FLORENCIA,CAQUETA,TELEFONO,XIAOMI,356520.0
2021-06-04,0,CUCUTA,NORTE DE SANTANDER,TELEFONO,MOTOROLA,599520.0
2021-06-04,0,BARRANQUILLA,ATLANTICO,TELEFONO,XIAOMI,795520.0
2021-06-05,1,SINCELEJO,SUCRE,TELEFONO,XIAOMI,795520.0
2021-06-04,0,MONTERIA,CORDOBA,TELEFONO,XIAOMI,743520.0
2021-06-05,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,1150571.0
2021-06-04,0,QUIBDO,CHOCO,TELEFONO,SAMSUNG,581520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,APPLE,3049580.0
2021-06-04,0,POPAYAN,CAUCA,TELEFONO,XIAOMI,795520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,PORTATIL,HP,3279899.0
2021-06-04,0,JAMUNDI,VALLE DEL CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,CALI,VALLE DEL CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,PUENTE NACIONAL,SANTANDER,TELEFONO,MOTOROLA,676520.0
2021-06-04,0,CHIGORODO,ANTIOQUIA,TELEFONO,SAMSUNG,507520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,YONDO,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,MAGANGUE,BOLIVAR,PORTATIL,HP,2762900.0
2021-06-04,0,BARRANCABERMEJA,SANTANDER,TELEFONO,XIAOMI,795520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,792520.0
2021-06-05,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,CALDAS,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-05,1,RIOHACHA,LA GUAJIRA,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,499520.0
2021-06-05,1,YOPAL,CASANARE,TELEFONO,SAMSUNG,432520.0
2021-06-04,0,ROZO,VALLE DEL CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,CALI,VALLE DEL CAUCA,TELEFONO,APPLE,3966581.0
2021-06-05,1,SAN PEDRO DE URABA,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,CUMARAL,META,TELEFONO,VIVO,980520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEVISOR,SAMSUNG,2719900.0
2021-06-05,1,IBAGUE,TOLIMA,TELEFONO,MOTOROLA,768520.0
2021-06-05,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-05,1,PACHO,CUNDINAMARCA,TELEFONO,SAMSUNG,359520.0
2021-06-05,1,PORE,CASANARE,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-05,1,BUCARAMANGA,SANTANDER,TELEFONO,SAMSUNG,1150571.0
2021-06-05,1,CUCUTA,NORTE DE SANTANDER,TELEFONO,XIAOMI,795520.0
2021-06-05,1,YOPAL,CASANARE,TELEFONO,SAMSUNG,795520.0
2021-06-08,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,1150571.0
2021-06-05,1,BARANOA,ATLANTICO,TELEFONO,XIAOMI,795520.0
2021-06-05,1,SIBATE,CUNDINAMARCA,TELEFONO,XIAOMI,795520.0
2021-06-05,1,MANIZALES,CALDAS,TELEFONO,XIAOMI,795520.0
2021-06-05,1,BARRANQUILLA,ATLANTICO,TELEFONO,APPLE,3966581.0
2021-06-05,1,VILLAVICENCIO,META,TELEFONO,XIAOMI,795520.0
2021-06-05,1,ZIPAQUIRA,CUNDINAMARCA,TELEFONO,SAMSUNG,1150571.0
2021-06-05,1,CAUCASIA,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,CALI,VALLE DEL CAUCA,TELEFONO,XIAOMI,795520.0
2021-06-05,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,SUAITA,SANTANDER,TELEFONO,SAMSUNG,597520.0
2021-06-05,1,CACERES,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,LA PAZ,CESAR,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,MEDELLIN,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-05,1,FRESNO,TOLIMA,TELEFONO,XIAOMI,795520.0
2021-06-05,1,GUATAVITA,CUNDINAMARCA,TELEFONO,REALME,631520.0
2021-06-05,1,MONTERIA,CORDOBA,TELEFONO,XIAOMI,795520.0
2021-06-05,1,MEDELLIN,ANTIOQUIA,TELEFONO,SAMSUNG,1097520.0
